"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","94800","94770","94800","95200","96370","96500","96950","96690","96750","96970","96950","99910","99890","99890","100040","99980","99910","99870","99830","99870","99810","99780","99640","100600","100270","100410","101150","104270","104430","103860","103200","95490","94460","93580","93740","93270","93650","94340","94860","94000","94030","93530","93280","93230","93110","92800","92660","92530","92460","92410","91280","91230","92780","93200","94342.4","95172.1","95613.3","96273","98720","99280","100680","","","",
"Bulgaria","BGR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","56730","56850","56930","57720","57930","58020","58630","58810","60220","60100","60090","60220","59820","60380","59550","61980","62060","62110","62060","61810","61790","61820","61770","61720","61690","61660","61660","61620","61680","61590","61610","61540","61210","61590","61640","61640","62030","56450","56790","55820","54980","53250","53260","53300","52650","51900","51160","51010","50300","50520","50880","51230","49950","49770","50119","50210","50295.2","50300","50370","50470","50465.972","","","",
"Bahrain","BHR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","97.9","96.9","95.8","94.8","93.7","92.7","91.6","90.6","89.5","88.5","87.4","86.4","85.3","84.3","83.2","82.2","81.1","81","81","81","81","","","",
"Bahamas, The","BHS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","110","120","130","130","130","130","130","130","130","130","130","130","130","","","",
"Bosnia and Herzegovina","BIH","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","21900","21800","21750","21700","21650","21600","21050","21300","21260","21230","21690","21694","21570","21590","21490","21300","21280","21440","21510","21560","21610","21570","21760","22090","22280","22110","22160","22420","22630","","","",
"Belarus","BLR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93540","93460","93390","93330","93060","93070","92810","92520","91280","90250","89860","89570","89490","89580","89160","89170","89270","88980","88750","87960","87112","86239","85742","85327","84940","84530","83870","82810","81740","","","",
"Belize","BLZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","790","790","800","800","800","810","810","810","820","820","830","830","840","840","850","850","860","930","940","960","970","970","970","970","1010","1030","1120","1150","1200","1260","1300","1360","1430","1430","1460","1470","1480","1480","1500","1490","1490","1520","1520","1520","1520","1520","1520","1520","1550","1570","1570","1600","1600","1600","1700","1700","1720","1720","1740","1800","1820","","","",
"Bermuda","BMU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","","",
"Bolivia","BOL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","300420","299420","298070","298780","299150","299510","299880","300240","302610","302970","307340","312700","313080","318430","323800","324160","329530","329890","335250","335620","340990","341360","341730","347170","346870","352030","352270","352500","354700","354550","357960","358310","362130","363510","366000","366840","368740","369820","370690","371430","371560","373110","366470","366170","369620","370985","371960","372815","373670","374525","375440","376405","377380","377488.428","377498.354","377852.311","376715.465","378765.993","379954.219","380076.741","381193.672","","","",
"Brazil","BRA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1569590","1606660","1643730","1680800","1717870","1754940","1792010","1829080","1866150","1903280","1938340","1973400","2008460","2043520","2078590","2127800","2177010","2226220","2275430","2325172.08","2344138","2363106","2382074","2401042","2419987.07","2405792","2391594","2377396","2363198","2349000","2334802","2320604","2306406","2292208","2278050","2279087","2280124","2281161","2282198","2283235","2284272","2285309","2286346","2287383","2288420","2289510","2296718","2303926","2311134","2318342","2325550","2332758","2339966","2347174","2354382","2361590","2368786","2375018.01","2381244.91","2387470.81","2393695.61","","","",
