"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"IDA total","IDA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","7306898.876","7317431.271","7341665.554","7359833.663","7373911.58","7377448.633","7383206.49","7393985.516","7387848.643","7397495.586","7403107.377","7421596.961","7437468.936","7433108.176","7449321.868","7460077.625","7467096.284","7488817.729","7492501.795","7516976.948","7525050.424","7557244.096","7550817.629","7577981.381","7610965.747","7618107.024","7638917.711","7650459.508","7668383.371","7689090.06","7717081.854","7744705.998","8165741.748","8210573.075","8274322.104","8304295.071","8345016.084","8367954.772","8418119.27","8450378.381","8484725.084","8503960.971","8547618.793","8566460.063","8647748.865","8676988.701","8715671.519","8735914.042","8778432.223","8816609.726","8865633.005","10312971.095","10355433.43","10388255.711","10428103.921","10459107.363","10494805.709","10541821.775","10553965.99","10583945.948","10608776.423","10630900.624","","",
"IDA blend","IDB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1891273.976","1896700.471","1900809.204","1909556.713","1921889.63","1925571.733","1926213.59","1926326.616","1916466.093","1921807.056","1922169.327","1926378.011","1940800.786","1939837.826","1950738.568","1952980.808","1959173.091","1966324.049","1972116.008","1986239.215","1981765.544","2006414.029","1989350.566","2007217.666","2020220","2011243.437","2023759.942","2020450.227","2030873.619","2034189.867","2040856.409","2054611.86","2070184.746","2083122.693","2115686.692","2113921.041","2119920.99","2127695.354","2138399.709","2142227.93","2142544.777","2143469.452","2145374.179","2149427.671","2152495.055","2156220.969","2160543.284","2155590.055","2158382.784","2161568.05","2177010.565","2189395.568","2191945.208","2199370.572","2214334.53","2219796.644","2226740.695","2246443.872","2240459.918","2252780.809","2260470.1","2259370.632","","",
"Indonesia","IDN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","386000","386000","385500","385500","385000","384500","384500","384500","384000","384000","383500","383500","383000","383000","382560","380460","380460","380460","380000","380000","379500","379500","379000","370520","396790","412920","434850","441370","444350","450830","415240","413510","420160","419710","429780","429680","435270","438770","458770","471770","486750","499500","511250","519000","521300","532600","542900","546200","553500","553800","564100","564400","569700","573000","578000","597000","633000","639000","641000","643000","646000","","","",
"IDA only","IDX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5415624.9","5420730.8","5440856.35","5450276.95","5452021.95","5451876.9","5456992.9","5467658.9","5471382.55","5475688.53","5480938.05","5495218.95","5496668.15","5493270.35","5498583.3","5507096.817","5507923.193","5522493.68","5520385.787","5530737.733","5543284.88","5550830.067","5561467.063","5570763.715","5590745.747","5606863.587","5615157.769","5630009.281","5637509.752","5654900.193","5676225.445","5690094.138","6095557.002","6127450.382","6158635.412","6190374.03","6225095.094","6240259.418","6279719.561","6308150.451","6342180.307","6360491.519","6402244.614","6417032.392","6495253.81","6520767.732","6555128.235","6580323.987","6620049.439","6655041.676","6688622.44","8123575.527","8163488.222","8188885.139","8213769.391","8239310.719","8268065.014","8295377.903","8313506.072","8331165.139","8348306.323","8371529.992","","",
"Isle of Man","IMN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","325","325","322","318","320","310","311","312","316","316","316","320","324","328","332","337","341","345","349","354","358","363","366","370","374","379","383","387","391","396","400","404","408","413","417","421","425","430","434","438","442","454","457.7","458","461.1","423.6","421.2","442.8","434.2","433.8","426.1","384","388","389","404","407","402","403","403","398","392","","","",
"India","IND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1749520","1764820","1761540","1767120","1771770","1775300","1778070","1783640","1777920","1780520","1778170","1779460","1787510","1792820","1796940","1796490","1795910","1805920","1805800","1802720","1804010","1807710","1804620","1814520","1813400","1811920","1815430","1810910","1815010","1814130","1815860","1813050","1813820","1812910","1809450","1805890","1809810","1808740","1810210","1809750","1804870","1805600","1802490","1803750","1801260","1799060","1796200","1797570","1800680","1795730","1796700","1796420","1796980","1797280","1796750","1795780","1792356.04","1791155.64","1790449.469","1785277.59","1785279.48","","","",
"Not classified","INX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","45580","46137","46169","46596","47078","47537","47826","48029","48160","47943","48240","48274","48420","48488","48355","48520","48808","48853","48962","49315","49091","48952","48765","48934","48836","48449","48170","48005","46767","45374","44448","44162","44073","43936","43887","43418","43556.4","43694.8","43833.2","43961.6","44100","43730","43700","43050","43020","42600","42760","46290","45939.2","45680","45550","45330","44770","44660","44300","44610","44890","45160","45240","45120","43370","","","",
"Iran, Islamic Rep.","IRN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","592710","592900","593500","594100","594700","594800","595500","596000","596700","597000","601540","608000","614810","609600","604400","599500","596930","588670","599080","577130","582800","588670","592100","595400","603700","607000","610300","618710","617000","615000","629970","637870","641520","641570","642080","644270","638320","647870","636870","628840","638230","640440","642650","644860","476310","478520","480730","466850","466862","465394","463926","462458","459540","459540","459540","459540","464350","469150","469883.333","470276.667","470670","","","",
"Iraq","IRQ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","88000","88550","89100","88650","89200","89250","89800","89850","89900","89930","89990","91600","91700","92800","92850","92850","92850","93890","94390","94390","94390","94500","94500","94500","94650","94800","94800","95300","92300","92300","96300","95500","98700","93500","91000","91000","86600","86500","85000","85000","84900","86900","86900","86900","88400","89900","91400","81900","78500","82200","85500","85685","88637.5","92690","92690","93090","93290","93490","93690","94390","94240","","","",
"Iceland","ISL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","21200","21200","21200","21200","21200","21200","21200","21200","21200","20010","19910","19810","19710","19600","19500","19400","19310","19210","19110","19000","19000","19000","19000","19000","19000","19000","19000","19000","19000","19010","19010","19010","19000","19000","18990","18970","18950","18910","18890","18890","18890","18870","18850","18840","18820","18810","18760","18760","18750","18740","18732","18722","18722","18722","18720","18720","18720","18720","18720","18720","18720","","","",
"Israel","ISR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5110","5050","5220","5250","5140","5250","5250","5210","5230","5250","5270","5270","5370","5450","5400","5300","5310","5330","5330","5330","5380","5400","5530","5640","5750","5790","5770","5760","5750","5790","5780","5770","5770","5790","5730","5640","5630","5620","5590","5660","5610","5630","5510","5135","5145","5088","5181","5156","5226","5045","5170","5262","5203","5377","5339","5520","6440","6413","6384","6464","6435","","","",
"Italy","ITA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","206830","206520","205100","204620","204400","204050","203790","203550","202270","201800","176490","175080","174820","175020","175170","175290","175010","175890","176080","175620","175510","175360","172600","172440","170950","170420","170120","168390","168500","168400","160540","159780","159100","157020","153330","153490","153450","154840","157990","156370","155020","152730","149070","148830","147360","142030","141620","144572","139824","143278","138526","137290","136300","131620","129450","128120","128265.7","124050","131209.62","125183.7","124030.309","","","",
"Jamaica","JAM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5330","5350","5350","5330","5070","5170","5170","5170","5170","5070","5070","5070","5070","5070","5070","5070","5070","5070","4970","4970","4970","4870","4770","4770","4770","4770","4770","4770","4770","4760","4760","4760","5030","5000","4970","4940","4890","4840","4820","4790","4790","4740","4740","4720","4670","4670","4640","4490","4460","4213","4205","4198","4188","4179","4170","4170","4170","4170","4170","4170","4170","","","",
"Jordan","JOR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10840","10860","10870","10910","10920","10940","10970","10990","11000","11040","11050","11090","11100","11140","11150","11170","11180","11220","11250","11270","11176","11241","11380","10501","11178","11258","11560","11650","11498","10402","10104","11207","10900","10720","11140","10510","10610","10660","10670","10690","10220","10250","10050","10370","10130","10180","9633","9725","10250","10023","10026","10449","10566","10640","10563","10659.6","10070","10218","10365","10290","10230","","","",
"Japan","JPN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","71100","71200","70200","70300","70040","68960","68380","67970","66520","66960","65430","64710","64220","63770","63230","62730","62400","62080","61760","61520","61210","60940","60690","60430","60160","59850","59580","59250","58780","58320","57840","57360","56860","56250","55620","55000","54370","53760","53210","52580","52130","51750","51400","51100","50800","50534","50268","49992","49746","49530","49190","49050","48920","48700","48460","48130","47780","47460","47150","46820","46590","","","",
"Kazakhstan","KAZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2214630","2217470","2216510","2171865","2154736","2156918","2153298","2150753","2153933","2144856","2134689","2130014","2126705","2122860","2118765","2114356","2108514","2107833","2171618","2169885","2170121","2169941","2167994","2162597","2162421","2162137","2160361","2139743","2140032","2137959","","","",
"Kenya","KEN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","252000","252050","252100","252150","252200","252250","252300","252350","252400","252450","252500","252550","252600","252650","255720","255780","255800","255800","255800","255800","255800","255800","255800","255050","263540","263730","264350","266620","270530","267700","268770","270720","268400","272320","272180","264510","265940","264580","268760","266710","268390","268180","268740","269920","270020","270540","270700","270850","272850","273100","276210","276320","276430","276540","276660","276770","276880","276990","277100","277100","277100","","","",
"Kyrgyz Republic","KGZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","100880","101200","103290","105370","106410","106610","106900","107260","107140","107760","107760","108400","107700","107450","107311","107286","107272","106173","106119","106085","105913","105567","105571","105562","105411","105401","103708","103684","103678","103661","","","",
"Cambodia","KHM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35180","35330","35420","35950","36270","36270","36290","35770","34770","34190","24500","24500","24500","25000","25000","25500","25500","26000","26000","26500","26500","26800","26900","26910","29900","32900","37000","41500","44350","44550","45100","45150","45310","45700","45700","45800","45800","46300","46400","47700","48900","50000","51000","52300","53560","53550","53550","53550","53550","54030","54506.938","55323.722","55721.242","56018.761","56476.28","57003.8","57841.319","58558.838","59506.358","60453.877","60991.397","","","",
"Kiribati","KIR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","390","390","430","430","430","430","380","380","380","380","380","380","380","380","380","380","380","380","380","380","380","380","380","390","390","390","390","390","390","390","390","390","370","370","370","370","370","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","","","",
"St. Kitts and Nevis","KNA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","200","200","200","200","200","200","200","200","180","150","150","150","150","150","150","150","150","150","150","150","150","140","140","130","130","120","120","120","120","120","120","120","120","100","100","90","90","90","100","95","93","81","81","80.3","50","50.1","50.9","51","55","57","60","60","60","60","60","60","60","60","60","60","60","","","",
"Korea, Rep.","KOR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","21130","20810","21000","21910","22780","23150","23360","23430","23370","23240","22990","22700","22710","22680","22720","22700","22670","22630","22520","22470","22450","22430","22360","22290","22200","22170","22190","22140","21970","21790","21610","21360","21180","20960","20480","20080","19830","19690","19540","19730","19450","19190","19020","18930","18810","18580","18400","18170","17950","17730","17561","17880","17687","17483","17360","17008","16767","16520","16370","16210","16030","","","",
"Kuwait","KWT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1360","1360","1360","1370","1370","1380","1380","1410","1410","1410","1410","1410","1420","1420","1420","1430","1430","1430","1440","1480","1510","1510","1510","1500","1500","1500","1510","1510","1515","1520","1525","1520","1536","1521","1494","1500","1514","1500","1500","1500","1500","","","",
"Latin America & Caribbean (excluding high income)","LAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5137490","5173630","5207469","5242908","5274837","5304375","5331184","5365713","5388562","5430621","5486290","5541308","5586817.061","5633015.121","5682765.182","5741574.242","5808673.303","5869842.364","5928562.424","5989406.565","6022094.546","6049603.606","6101962.667","6138702.727","6165413.698","6166524.308","6171679.839","6171279.73","6174208.06","6173562.751","6173203.418","6163738.125","6157411.913","6147565.63","6138644.254","6146284.287","6155145.46","6168408.984","6175704.107","6168981.361","6143001.844","6145759.588","6148900.973","6158162.18","6170006.175","6169491.272","6182550.663","6132035.242","6106145.74","6126886.314","6113475.437","6120188.281","6122480.97","6083881.032","6097385.959","6075986.233","6047588.475","6004461.965","5981580.09","5981841.881","5953752.743","5905280.309","","",
"Lao PDR","LAO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","15500","15500","15000","14500","14500","14600","14600","14700","14720","14770","14820","15120","15320","15550","15680","15800","15900","15980","16050","16060","16090","16170","16200","16300","16350","16380","16400","16500","16520","16600","16620","16640","16650","16900","17000","17000","17560","17650","17730","18060","18410","18760","19110","19460","19850","20250","20630","21040","21680","22200","22765","23072.5","23350","23350","23350","23350","22589","21828","21067","20310","20310","","","",
"Lebanon","LBN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5620","5700","5700","5800","5960","5960","6060","6160","6200","6250","6300","6350","6450","6400","6350","6300","6250","6190","6130","6010","5980","5980","5980","5980","5990","6000","6040","6040","6040","6050","6060","6060","6060","6070","6090","6180","6220","6260","5825","5950","5980","6160","6270","6383","6530","6790","6771","6630","6630","6400","6510","6580","6600","6620","6650","6710","6733.2","6715.5","6713","6773","6793","","","",
"Liberia","LBR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","11467.6","11447.6","11447.6","11417.6","11417.6","11387.6","11387.6","11367.6","11367.6","11347.6","11347.6","11347.6","11347.6","11347.6","11347.6","11347.6","11397.6","11397.6","11397.6","11397.6","11397.6","11437.6","11487.6","11497.6","11517.6","11607.6","11667.6","11637.6","11637.6","10637.6","10940.2","11239.202","11539.884","11840.682","12145.122","12452.218","12754.76","13067.416","13367.4","13671.162","13972.93","14275.723","14578.479","14881.04","15179.629","15478.004","15771.809","16072.218","16371.311","16670.346","16966.591","17266.362","17565.513","17863.733","18164.532","18464.827","18766.883","19069.038","19230.4","19230.4","19230.4","","","",
"Libya","LBY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","111700","113830","115850","117930","119950","122030","124050","126150","128200","130250","132350","134380","136450","138480","140550","142580","144650","146730","148750","150800","151850","152920","154050","154150","154270","154350","154400","154400","154450","154550","154600","154650","154650","154750","155150","156660","156660","154500","154500","154500","154500","154500","154500","153850","153850","153850","153850","153850","153850","153510","153510","153550","153550","153500","153500","153500","153500","153500","153500","153500","153500","","","",
"St. Lucia","LCA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","170","180","180","180","180","190","190","190","190","200","200","200","199","200","200","200","200","202","205","208","210","212","215","218","212","210","210","210","209","198","197","197","195","180","174","170","155","154","142","139","131","124","111","109","101","99.3","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","","","",
"Latin America & Caribbean","LCN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5678947","5716527","5751956","5789775","5824044","5856082","5885061","5922410","5947799","5992188","6051307","6108975","6159294.061","6210122.121","6263922.182","6331103.659","6399485.136","6460106.614","6519299.091","6580565.648","6612646.046","6640087.523","6692509","6730477.727","6758677.365","6760756.641","6763440.839","6762769.397","6763046.393","6759495.751","6758105.265","6743492.458","6734944.913","6724527.297","6714024.587","6720303.287","6728653.127","6741430.317","6746838.107","6740832.028","6715198.177","6721479.588","6722239.64","6735916.813","6747057.175","6743880.372","6754706.563","6702621.988","6674266.242","6687737.452","6672236.422","6672087.012","6672010.457","6630720.265","6640609.378","6613210.958","6580939.946","6533199.182","6505297.461","6500828.574","6470377.184","6420903.84","","",
"Least developed countries: UN classification","LDC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5356359.9","5361275.8","5376691.35","5387361.95","5393586.95","5398921.9","5403527.9","5415603.9","5419127.55","5422788.53","5427483.05","5434003.95","5431813.15","5427505.35","5435248.3","5440179.4","5440873.36","5454571.43","5454136.12","5463660.65","5474875.38","5481228.15","5493106.73","5499640.715","5518914.08","5534339.254","5541031.769","5555961.614","5564591.419","5581085.193","5600766.778","5613126.805","6014241.002","6042265.715","6064432.079","6091562.03","6122667.477","6143617.978","6181438.057","6215648.583","6246090.666","6261504.724","6305388.655","6325389.32","6398198.014","6424212.809","6456216.715","6484229.38","6526107.785","6571497.296","6609385.983","8044070.143","8084537.461","8112327.591","8137513.046","8163258.937","8193067.065","8220140.907","8236539.161","8252806.037","8269838.169","8281042.45","","",
"Low income","LIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3643835.3","3647752.3","3652175.3","3658665.3","3656435.3","3651758.3","3653363.3","3661658.3","3667309.3","3659804.3","3662239.3","3672059.3","3676046.3","3670130.3","3672646","3679494.3","3680855.3","3684507.4","3686737.86","3696718.27","3696805.3","3701494.8","3711322.1","3715600.605","3720382.82","3731634.454","3731963.969","3736151.564","3738182.649","3759831.893","3777539.468","3790516.935","3880411.402","3903354.345","3918591.879","3936067.27","3961295.397","3978334.468","4001793.767","4029894.053","4058075.116","4071135.874","4098653.675","4098707.24","4157907.284","4170599.824","4182364.764","4195794.221","4219132.85","4247348.791","4270877.678","5696906.224","5723724.906","5740444.647","5751610.279","5772239.654","5790408.076","5805927.149","5815535.696","5824918.119","5834613.579","5854907.274","","",
"Liechtenstein","LIE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","80","80","80","80","70","70","70","70","70","70","70","70","70","70","70","69","67.7","66.4","65.1","63.8","62.5","61.2","59.9","58.6","57.3","56","54.7","53.4","52.4","52.2","52","51.8","51.8","51.7","51.7","51.7","","","",
"Sri Lanka","LKA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17230","17070","20600","21030","21560","22050","22550","23210","23280","23330","23390","23450","23510","23570","23590","23960","24330","24690","23590","23490","23490","22960","23080","23110","23150","23260","23340","23370","23400","23390","23420","23440","23200","23230","23260","23270","23280","23290","23450","23500","23510","23560","23700","23100","25100","24400","23900","25950","26100","26200","27300","27400","27400","27400","27400","27500","27602","28116","28115.728","28120","28120","","","",
"Lower middle income","LMC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","7061214.576","7084566.971","7103071.254","7127679.363","7153727.28","7170174.333","7181932.19","7193531.216","7182144.343","7207746.286","7215033.077","7235222.661","7261312.636","7278601.876","7308313.868","7319248.908","7337892.151","7369269.079","7377977.268","7400093.595","7417839.624","7452029.779","7435976.596","7475041.376","7501476.26","7501362.237","7527327.142","7531214.277","7557081.989","7557400.017","7573529.549","7597008.6","7629211.096","7654605.619","7703383.509","7718999.226","7744723.692","7755158.146","7786568.331","7792816.592","7796116.424","7807649.658","7811315.67","7812504.248","7831272.7","7843093.348","7862632.52","7882846.238","7908382.794","7915748.304","7944207.958","7969700.342","7989710.877","8001127.109","8041982.931","8055688.375","8068975.448","8093225.927","8090361.495","8111015.469","8124496.846","8126017.646","","",
"Low & middle income","LMY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","26943526.843","27027713.162","27117333.558","27201058.946","27292684.155","27375744.233","27455478.591","27556170.492","27634155.713","27741732.605","27872914.977","28025473.433","28164057.043","28285128.771","28400875.117","28385665.318","28535767.785","28694591.22","28822588.632","28943868.901","29010031.271","29173278.252","29333311.429","29535410.208","29749659.578","29849508.299","29983566.25","30070967.871","30173735.998","30264384.961","30347048.355","30386263.2","30510720.571","30596174.374","30606199.042","30635796.803","30789099.689","30842536.858","30912017.585","30949967.506","30968969.918","31000708.689","30883545.321","30907948.306","30825969.231","30859459.973","30905999.032","30866024.344","30890487.845","31001540.02","31027722.726","32478357.776","32524623.695","32506584.748","32564202.329","32571269.722","32592024.877","32583845.542","32596599.235","32625156.608","32623648.021","32597379.315","","",
"Lesotho","LSO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25810","25760","25760","25780","25780","25830","25830","25330","24780","24270","23640","23590","23590","23590","23760","23590","22920","22930","23090","22960","23020","22920","22870","23010","23080","22910","23300","23430","23050","23210","23230","23360","23340","23290","23240","23260","23290","23290","23290","23340","23340","23040","23040","23140","23270","23070","23290","23620","23390","23260","23120","22853","22521","22763","22230","23560","24180","24333","24330","24330","24330","","","",
"Late-demographic dividend","LTE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12929460.4","13011526.5","13095100.7","13174259.2","13267844.4","13350234.3","13429803.8","13513538","13602276.4","13694805.1","13803244.8","13898311.3","14005892.9","14120816.7","14212069.4","14185120.95","14309245.9","14424921.25","14509756.767","14614103.163","14691221.4","14811238.817","14942197.733","15077972.2","15218965.237","15268564.333","15317475.6","15364722.667","15414994.733","15462243.45","15508411.077","15501713.603","15453493.95","15471068.127","15385361.223","15377728.42","15507296.907","15509360.133","15515900.33","15523386.067","15480021.477","15471784.619","15319102.65","15307672.891","15310403.282","15314082.957","15312627.631","15329764.622","15335192.874","15393100.818","15385460.385","15386508.504","15407686.741","15390132.763","15398330.149","15394920.395","15378257.723","15335863.071","15274491.089","15238927.479","15193595.869","15126137.894","","",
"Lithuania","LTU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33890","33330","31260","34100","34110","34170","34250","34960","34180","28960","28850","25410","26043","28370","27907","26959","26721","26890","27723","28059","28422","28914","29524","30059","29539","29353","29470","29750","29428","29378","","","",
"Luxembourg","LUX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280","1280","1280","1280","1280","1290","1290","1310","1310","1307","1310.4","1312.7","1314.2","1308.8","1309.9","1312.7","1306.51","1311.58","1315.59","1315.92","1321.36","1328.11","","","",
"Latvia","LVA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25300","25140","25400","18320","18740","17720","17490","16170","15880","15810","15950","15820","16420","17340","18550","18390","18250","18330","18050","18160","18410","18770","18720","18845","19310","19330","19380","19600","19690","19700","","","",
"Macao SAR, China","MAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","233700","235800","238500","241100","244200","247380","249380","252380","254290","257050","259330","261700","264250","266300","269170","271500","275000","279180","280040","289300","290900","291770","292730","293840","293980","294970","296660","297440","300640","303430","303550","306160","307110","309640","307490","309660","308950","309760","306930","306520","303700","302830","308760","300410","299890","299460","299600","299810","300026","299883","301038","304030","305850","300825","300470","308750","310465.482","305258.072","296119.07","303580","302910","","","",
"Monaco","MCO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25600","25570","25570","25560","25560","25560","25560","25570","25440","25390","25340","25280","25220","24990","24830","24850","24810","24720","24650","24620","24600","24610","23150","23180","23179","23173","22571","22616","22646","22750","","","",
"Madagascar","MDG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","351450","351700","351950","352200","352450","352700","352950","353200","353500","353700","353900","354200","354400","354750","357590","357640","359290","360000","360200","360400","360750","361000","361350","361600","361950","362200","362400","362700","362950","363250","363500","363700","364900","364800","364800","365960","374900","384900","395000","405000","408430","408430","408430","408430","408930","408930","408930","408950","408950","408950","408950","408950","408950","408950","408950","408950","408950","408950","408950","408950","408950","","","",
"Maldives","MDV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","50","50","50","50","50","50","50","50","50","50","60","60","70","70","70","70","70","70","70","70","70","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","90","100","120","120","110","90","70","70","70","70","69","69","64","64","64","64","64","64","64","64","64","59","","","",
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3626200","3627040","3630960","3637300","3648910","3651420","3658950","3659530","3652300","3662060","3680470","3701650","3716092","3711403","3705203","3705480","3706930","3709290","3720510","3719930","3674566","3703203.4","3691607.4","3761403.6","3813238","3849898","3919000","3965670","4018248","4065052","4086769","4107064.8","4191616.8","4265816.979","4338539.494","4414251.655","4480138.866","4571268.592","4628559.499","4622736.715","4632528.657","4638295.482","4647051.604","4648858.696","4480181.861","4486269.188","4489360.057","4459376.416","4455189.335","4458665.219","4467554.566","4470844.313","4475821.11","4471484.808","4472206.125","4483843.616","4495011.736","4495354.144","4481001.946","4496456.243","4490038.615","4473564.921","","",
"Mexico","MEX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","983160","981790","981090","980490","979790","979140","978390","977690","977090","976350","969380","971500","974000","975510","975510","975510","976010","981980","979980","981800","982100","983150","1010200","1010310","1012355","1014410","1025500","1030510","1040500","1051510","1061540","1061770","1061800","1061900","1061950","1063100","1063100","1063250","1063260","1063300","1065500","1065500","1065500","1065700","1065700","1065700","1067000","1033550","1026820","1018070","1013220","1005120","994860","987480","986800","983380","969460","965160","961060","971380","971260","","","",
"Marshall Islands","MHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","75","70","70","70","70","70","70","70","70","70","","","",
"Middle income","MIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","23299691.543","23379960.862","23465158.258","23542393.646","23636248.855","23723985.933","23802115.291","23894512.192","23966846.413","24081928.305","24210675.677","24353414.133","24488010.743","24614998.471","24728229.117","24706171.018","24854912.485","25010083.82","25135850.772","25247150.631","25313225.971","25471783.452","25621989.329","25819809.603","26029276.758","26117873.845","26251602.281","26334816.307","26435553.349","26504553.068","26569508.887","26595746.265","26630309.169","26692820.029","26687607.163","26699729.533","26827804.292","26864202.39","26910223.818","26920073.453","26910894.802","26929572.815","26784891.646","26809241.066","26668061.947","26688860.149","26723634.268","26670230.123","26671354.995","26754191.229","26756845.048","26781451.552","26800898.789","26766140.101","26812592.05","26799030.068","26801616.801","26777918.393","26781063.539","26800238.489","26789034.442","26742472.041","","",
