year,season,adm_id,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq
1991,Maha,25846,63.29188719047619,81.46816585714285,186.04497080952382,245.34073833333332,653.9603247619048,752.4032647619048,83.06126904761905
1991,Maha,25847,38.22184800952381,46.58647880952381,110.35238080952381,138.69268157142855,402.3893661904762,402.38132190476193,82.34006280952381
1991,Maha,25848,61.522588,73.83964276190476,182.2380943809524,221.89678266666664,647.1526057142858,669.3320728571429,86.53644628571429
1991,Maha,25849,52.71327287142857,70.867022,160.30293909523812,211.10337642857144,551.9822461904762,617.2534633333333,75.18935671428571
1991,Maha,25850,45.151561814285714,60.379288571428575,132.99283152380954,178.83676485714284,463.18229380952386,511.4043295238095,73.98700980952381
1991,Maha,25851,65.35610657142857,80.26659785714286,197.10145076190474,241.85817742857142,625.8426480952381,750.8714961904761,84.29320014285715
1991,Maha,25852,59.61600861904762,68.3319830952381,175.63930523809523,204.60624976190476,541.5461138095238,626.2708247619048,86.60684542857143
1991,Maha,25853,65.12087933333333,88.73891947619047,195.32600695238094,267.5044873333333,660.5430557142857,827.4943176190476,79.61384614285714
1991,Maha,2736,54.089318742857145,72.46037752380953,168.45482976190476,217.51529923809522,561.58253,654.9511652380952,77.2474090952381
1991,Maha,2737,46.28891911428572,63.34715133333333,147.097528,190.25440547619047,494.9676395238095,548.14396,73.63842
1991,Maha,2738,42.28082946666667,57.97381171428571,137.67616333333334,173.67484809523808,451.85049885714284,509.23139142857144,77.21676528571429
1991,Maha,2739,40.86918287142857,51.13983261904762,119.30062876190476,151.24873295238095,350.15723333333335,443.32437619047624,79.84422947619048
1991,Maha,2740,40.80338494285714,52.94583804761905,126.1113308095238,158.25366161904762,384.6466007619048,462.6025685714286,82.30823933333333
1991,Maha,2741,58.22816257142857,76.74249714285713,175.21472442857143,229.8252016666667,583.1860952380952,700.9723995238095,80.34272495238095
1991,Maha,2742,50.93258455238095,63.13976328571429,149.06554385714284,189.27669857142857,532.3365461904762,567.0569661904761,83.59347828571428
1991,Maha,2743,47.69013553333333,63.90017057142857,142.1612230952381,189.6691261904762,492.9937271428571,546.9394071428571,74.5528053095238
1991,Maha,2744,63.04449695238095,79.27998961904761,188.07650157142857,238.43824023809526,608.1580866666667,735.5285157142857,83.06357480952381
1991,Maha,41748,57.679365004761905,74.03280361904761,177.22301604761904,222.38983947619047,589.5745857142857,673.0034919047619,80.28293070000001
1991,Maha,41749,55.515599180952385,71.44742761904762,169.9211829047619,215.85191547619047,570.512321904762,668.4838033333333,80.42607819047619
1991,Yala,25830,29.05273642666667,36.863814266666665,91.40099426666666,112.20162493333333,288.0835833333333,359.0276953333333,93.87698540000001
1991,Yala,25832,17.476190493333334,20.512275199999998,56.823130533333334,62.2506574,166.84535233333332,228.19169666666667,97.94759053333333
1991,Yala,25833,9.916260176000002,12.536748139999998,32.321138133333335,37.26271,100.66422573333332,142.64384833333332,90.17628766666667
1991,Yala,25834,12.874698845333334,18.054377542666668,34.957431,51.760829560000005,108.38152466666666,160.76369506666666,86.54136386666666
1991,Yala,25835,16.280851022,23.11048716133333,49.65985796,69.99956577333333,162.19602433333333,224.0840936666667,92.88960646666666
