Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,Population,Population_Growth_Rate,Inflation,Missing_Rainfall,Prev_Yield,Prev_Rainfall,Crisis_Indicator
1965,471,191,447,181,34.7,1789,13182,276,Yala,0.9476439790575916,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,10916965.0,0.0247402776785659,0.222783306254021,1,2007.0,43.15622566074509,0
1966,1054,427,1006,407,40.85,2106,34945,730,Maha,0.9531615925058547,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,11183928.0,0.0244539576704698,-0.155601659973846,1,1852.0,64.50506032282912,0
1966,567,230,505,204,35.04,1807,15048,315,Yala,0.8869565217391304,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,11183928.0,0.0244539576704698,-0.155601659973846,1,1789.0,43.15622566074509,0
1967,1147,464,1078,436,47.49,2449,43500,909,Maha,0.9396551724137931,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,11457328.0,0.0244457940001043,2.18923933203517,1,2106.0,64.50506032282912,0
1967,585,237,561,227,42.01,2166,20017,418,Yala,0.9578059071729956,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,11457328.0,0.0244457940001043,2.18923933203517,1,1807.0,43.15622566074509,0
1968,1182,479,1079,437,51.23,2641,46966,982,Maha,0.9123173277661796,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,11736088.0,0.0243302801490887,5.86056644898579,1,2449.0,64.50506032282912,1
1968,596,241,556,225,44.54,2296,21000,439,Yala,0.933609958506224,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,11736088.0,0.0243302801490887,5.86056644898579,1,2166.0,43.15622566074509,1
1969,1191,482,1115,451,52.21,2692,49492,1034,Maha,0.9356846473029046,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,12013858.0,0.0236680229391599,7.45695273372576,1,2641.0,64.50506032282912,1
1969,527,213,461,187,48.24,2487,18898,395,Yala,0.8779342723004695,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,12013858.0,0.0236680229391599,7.45695273372576,1,2296.0,43.15622566074509,1
1970,1147,464,1089,441,44.9,2315,41560,869,Maha,0.9504310344827588,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,12287110.0,0.0227447336234538,5.86695607765968,1,2692.0,64.50506032282912,1
1970,684,277,661,268,49.78,2567,27955,584,Yala,0.967509025270758,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,12287110.0,0.0227447336234538,5.86695607765968,1,2487.0,43.15622566074509,1
1971,1186,480,1035,419,48.09,2480,42327,885,Maha,0.8729166666666667,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,12551910.0,0.0215510400737033,2.66538020859991,1,2315.0,64.50506032282912,0
1971,646,262,625,253,47.66,2457,25335,530,Yala,0.965648854961832,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,12551910.0,0.0215510400737033,2.66538020859991,1,2567.0,43.15622566074509,0
1972,1176,476,1085,439,45.54,2348,42004,878,Maha,0.9222689075630252,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,12809205.0,0.0204984739374325,6.34948605013613,1,2480.0,64.50506032282912,0
1972,609,247,543,220,44.54,2296,20574,430,Yala,0.8906882591093117,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,12809205.0,0.0204984739374325,6.34948605013613,1,2457.0,43.15622566074509,0
1973,1318,534,1288,521,47.72,2460,52629,1100,Maha,0.9756554307116104,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,13060916.0,0.0196507901934586,9.62664310171122,1,2348.0,64.50506032282912,1
1973,613,248,575,233,42.78,2206,20896,437,Yala,0.939516129032258,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,13060916.0,0.0196507901934586,9.62664310171122,1,2296.0,43.15622566074509,1
1974,1096,444,875,354,46.25,2385,34458,720,Maha,0.7972972972972973,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,13305693.0,0.0187411817057854,12.3028867952472,1,2460.0,64.50506032282912,1
1974,720,291,681,276,41.74,2152,24165,505,Yala,0.9484536082474226,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,13305693.0,0.0187411817057854,12.3028867952472,1,2206.0,43.15622566074509,1
1975,1147,464,1052,426,47.17,2432,42278,884,Maha,0.918103448275862,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,13548984.0,0.01828472970179,6.62599255320979,1,2385.0,64.50506032282912,0
1975,624,253,600,243,40.84,2106,20857,436,Yala,0.9604743083003952,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,13548984.0,0.01828472970179,6.62599255320979,1,2152.0,43.15622566074509,0
1976,1329,538,1250,506,51.56,2658,54833,1146,Maha,0.9405204460966544,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,13796770.0,0.0182881609425473,1.3295186805823,1,2432.0,64.50506032282912,0
1976,642,260,518,210,40.3,2078,17756,371,Yala,0.8076923076923077,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,13796770.0,0.0182881609425473,1.3295186805823,1,2106.0,43.15622566074509,0
1977,1421,575,1366,553,53.02,2734,61626,1288,Maha,0.9617391304347828,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,14049371.0,0.018308705588337,1.22487958802845,1,2658.0,64.50506032282912,0
1977,717,290,683,277,43.98,2268,25554,534,Yala,0.9551724137931036,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,14049371.0,0.018308705588337,1.22487958802845,1,2078.0,43.15622566074509,0
1978,1428,578,1361,551,54.7,2820,66764,1395,Maha,0.953287197231834,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,14310128.0,0.0185600479907606,12.141597276466,1,2734.0,64.50506032282912,0
1978,742,300,708,287,46.61,2403,28979,606,Yala,0.9566666666666668,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,14310128.0,0.0185600479907606,12.141597276466,1,2268.0,43.15622566074509,0
1979,1417,573,1382,554,57.23,2951,69653,1453,Maha,0.9668411867364748,62.38258770028011,64.50506032282912,186.17503236610645,193.14594800420167,538.4313716540616,575.0589468879551,97.29771979789916,14579614.0,0.0188318371435951,10.731921430873,1,2820.0,64.50506032282912,0
1979,647,261,575,232,49.94,2575,25122,524,Yala,0.8888888888888888,42.91075342937745,43.15622566074509,130.89146514266764,129.96097507040392,368.96419988254905,394.66575780058827,99.81466305686274,14579614.0,0.0188318371435951,10.731921430873,1,2403.0,43.15622566074509,0
1980,1474,597,1410,565,58.29,3005,72961,1522,Maha,0.9463986599664992,,,,,,,,14847974.0,0.018406522971047,26.1454101014465,0,2951.0,64.50506032282912,0
1980,670,271,648,261,55.99,2887,32584,681,Yala,0.96309963099631,,,,,,,,14847974.0,0.018406522971047,26.1454101014465,0,2575.0,43.15622566074509,0
