Year,Sown_Acres,Sown_Ha,Harvested_Acres,Harvested_Ha,Avg_Yield_Bushels_Acre,Avg_Yield_Kg_Ha,Production_Bushels,Production_Mt,season,Sown_to_Harvest_Ratio,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,Population,Population_Growth_Rate,Inflation,Missing_Rainfall,Prev_Yield,Prev_Rainfall,Crisis_Indicator
1997,635,257,610,247,68.39,3526,37496,782,Yala,0.9610894941634242,44.3738269848549,43.15622566074509,135.23316936177648,129.96097507040392,386.5811185943137,394.66575780058827,97.1961192509804,18248200.0,0.0191668056407428,9.57369626405162,0,3477.0,43.15622566074509,1
1998,1351,547,1331,539,70.06,3612,83196,1736,Maha,0.9853747714808044,50.36438563767507,64.50506032282912,146.042030932493,193.14594800420167,526.2768718669467,575.0589468879551,74.73644008865547,18596003.0,0.0190595784789733,9.36424300683229,0,3555.0,64.50506032282912,0
1998,678,274,657,266,73.84,3807,43678,911,Yala,0.9708029197080292,44.830085121162746,43.15622566074509,131.45807642035294,129.96097507040392,325.2184311462745,394.66575780058827,107.23067405098038,18596003.0,0.0190595784789733,9.36424300683229,0,3526.0,43.15622566074509,0
1999,1357,549,1300,526,73.65,3798,85374,1781,Maha,0.9581056466302368,69.23558847394959,64.50506032282912,212.55738324005603,193.14594800420167,617.8829194495798,575.0589468879551,112.41231532913166,18944731.0,0.0187528470499815,4.69170563048438,0,3612.0,64.50506032282912,0
1999,854,345,823,333,72.78,3752,53746,1121,Yala,0.9652173913043478,40.276135290427455,43.15622566074509,119.5618264498353,129.96097507040392,401.5648387358824,394.66575780058827,88.02161387254901,18944731.0,0.0187528470499815,4.69170563048438,0,3807.0,43.15622566074509,0
2000,1184,479,1163,471,74.86,3860,77304,1613,Maha,0.9832985386221296,71.78253509754902,64.50506032282912,203.2402605672269,193.14594800420167,605.0922648319329,575.0589468879551,126.53557517507,19293054.0,0.0183862732070463,6.17627591012045,0,3798.0,64.50506032282912,0
2000,812,329,756,306,76.76,3958,51711,1079,Yala,0.9300911854103344,34.174563273813725,43.15622566074509,101.65718276919608,129.96097507040392,332.33070711960784,394.66575780058827,90.65256590490196,19293054.0,0.0183862732070463,6.17627591012045,0,3752.0,43.15622566074509,0
2001,1261,510,1232,499,77.39,3990,85002,1774,Maha,0.9784313725490196,57.52916996184874,64.50506032282912,184.19510275238096,193.14594800420167,535.3759096530812,575.0589468879551,94.08864086344538,19600362.0,0.0159284268835819,14.15845579912,0,3860.0,64.50506032282912,1
2001,789,319,727,294,79.6,4102,51830,1082,Yala,0.9216300940438872,37.875366264245095,43.15622566074509,113.57031786082352,129.96097507040392,351.0575391111765,394.66575780058827,90.96481047745098,19600362.0,0.0159284268835819,14.15845579912,0,3958.0,43.15622566074509,1
2002,1487,602,1383,560,73.58,3794,90806,1895,Maha,0.9302325581395348,61.91217571232493,64.50506032282912,181.9864747058824,193.14594800420167,504.13688854117646,575.0589468879551,90.0910811512605,19805752.0,0.0104788880940056,9.55103167007251,0,3990.0,64.50506032282912,0
2002,845,342,793,321,72.57,3742,52027,1086,Yala,0.9385964912280702,37.25934116927451,43.15622566074509,112.06872230141764,129.96097507040392,343.48329688823526,394.66575780058827,85.22047649803922,19805752.0,0.0104788880940056,9.55103167007251,0,4102.0,43.15622566074509,0
2003,1287,521,1159,469,77.62,4002,80022,1670,Maha,0.9001919385796545,58.96892278830532,64.50506032282912,182.6073753564426,193.14594800420167,588.5968216460784,575.0589468879551,96.44980935434172,19951521.0,0.0073599326094762,6.31463787051174,0,3794.0,64.50506032282912,0
2003,941,381,867,351,71.92,3708,56177,1172,Yala,0.9212598425196852,45.48819826417843,43.15622566074509,142.80467564131374,129.96097507040392,432.42779002254906,394.66575780058827,107.66059804784314,19951521.0,0.0073599326094762,6.31463787051174,0,3742.0,43.15622566074509,0
2004,1435,581,1408,570,76.7,3955,96461,2013,Maha,0.9810671256454389,72.89229503949579,64.50506032282912,205.72588307563024,193.14594800420167,583.1640170854342,575.0589468879551,104.855801732493,20087605.0,0.0068207331160365,7.57592582995856,0,4002.0,64.50506032282912,0
2004,637,258,620,251,82.32,4244,45921,958,Yala,0.9728682170542636,43.00483309886863,43.15622566074509,129.73659909898038,129.96097507040392,386.7392281039216,394.66575780058827,99.26157432156865,20087605.0,0.0068207331160365,7.57592582995856,0,3708.0,43.15622566074509,0
2005,1461,591,1448,586,78.92,4069,102349,2135,Maha,0.9915397631133672,71.70405337422969,64.50506032282912,223.3962628732493,193.14594800420167,637.6442607492997,575.0589468879551,100.11578262605042,20216524.0,0.0064178382639443,11.6396860971118,0,3955.0,64.50506032282912,0
2005,881,357,853,345,77.11,3976,59116,1233,Yala,0.9663865546218487,42.81667375988627,43.15622566074509,130.71739879266275,129.96097507040392,401.6650156384314,394.66575780058827,99.55442712745098,20216524.0,0.0064178382639443,11.6396860971118,0,4244.0,43.15622566074509,0
2006,1298,525,1265,512,83.38,4299,94554,1973,Maha,0.9752380952380952,82.80132883963586,64.50506032282912,242.96964946638656,193.14594800420167,713.512949904762,575.0589468879551,126.3688752857143,20352411.0,0.006721580821708,10.0201836057035,0,4069.0,64.50506032282912,0
2006,789,319,776,314,82.68,4263,57814,1206,Yala,0.9843260188087776,32.51364730436275,43.15622566074509,98.80465623570588,129.96097507040392,330.44129056607846,394.66575780058827,81.27436353529413,20352411.0,0.006721580821708,10.0201836057035,0,3976.0,43.15622566074509,0
2007,1437,582,1404,568,81.08,4175,101852,2125,Maha,0.9759450171821306,58.32756791736694,64.50506032282912,173.76765431302522,193.14594800420167,597.4405773543417,575.0589468879551,88.51580247829132,20492545.0,0.0068853758898639,15.8421114924843,0,4299.0,64.50506032282912,0
2007,720,291,701,284,88.1,4543,55505,1158,Yala,0.9759450171821306,60.17052349014902,43.15622566074509,171.35823993407843,129.96097507040392,475.9864346656863,394.66575780058827,133.33061739607842,20492545.0,0.0068853758898639,15.8421114924843,0,4263.0,43.15622566074509,0
2008,1562,632,1495,604,85.74,4421,114254,2384,Maha,0.9556962025316456,66.4659926009804,64.50506032282912,203.0791175280112,193.14594800420167,536.2057251820728,575.0589468879551,123.09573747058823,20629378.0,0.0066772087117534,22.5644955300126,0,4175.0,64.50506032282912,0
2008,1165,471,1148,465,81.36,4195,83871,1750,Yala,0.9872611464968152,47.87097266226078,43.15622566074509,157.2542990819804,129.96097507040392,556.9865555021569,394.66575780058827,105.7532788637255,20629378.0,0.0066772087117534,22.5644955300126,0,4543.0,43.15622566074509,0
2009,1596,646,1590,643,88.88,4583,126024,2630,Maha,0.9953560371517028,67.66447893277311,64.50506032282912,186.17503236610645,193.14594800420167,518.4889278291316,575.0589468879551,103.48673397759104,20756435.0,0.006159032036739,3.46496322106074,0,4421.0,64.50506032282912,0
2009,853,345,834,337,81.21,4187,60755,1268,Yala,0.9768115942028984,45.40165100886863,43.15622566074509,143.54870552241567,129.96097507040392,442.78029122039214,394.66575780058827,104.38654138039216,20756435.0,0.006159032036739,3.46496322106074,0,4195.0,43.15622566074509,0
2010,1804,730,1516,613,71.13,2994,95655,1996,Maha,0.8397260273972603,77.00085372268907,64.50506032282912,228.95164451092435,193.14594800420167,673.1065929649859,575.0589468879551,111.6740534397759,20879089.0,0.0059092035795165,6.2176488930462,0,4583.0,64.50506032282912,0
2010,1036,419,1031,417,86.19,4444,80087,1671,Yala,0.9952267303102624,60.50912121341177,43.15622566074509,180.02387528405882,129.96097507040392,502.3841495809804,394.66575780058827,127.68375627843136,20879089.0,0.0059092035795165,6.2176488930462,0,4187.0,43.15622566074509,0
2011,1735,702,1692,685,86.2,4444,130212,2718,Maha,0.9757834757834758,83.22671591792718,64.50506032282912,255.40493750700284,193.14594800420167,787.8899862422969,575.0589468879551,140.8668861666667,21009048.0,0.0062243616088806,6.7167684358854,0,2994.0,64.50506032282912,0
2011,1218,493,1209,489,84.3,4347,90965,1898,Yala,0.9918864097363084,46.74173275492941,43.15622566074509,141.74354453637844,129.96097507040392,486.04549254215686,394.66575780058827,106.39538991764708,21009048.0,0.0062243616088806,6.7167684358854,0,4444.0,43.15622566074509,0
2012,1927,780,1833,742,83.04,4281,136410,2846,Maha,0.9512820512820512,77.74203012535014,64.50506032282912,217.15161725560225,193.14594800420167,612.8602589103641,575.0589468879551,113.1765740140056,21169458.0,0.0076352817129077,7.54291373239437,0,4444.0,64.50506032282912,0
2012,901,365,754,305,80.39,4145,54107,1129,Yala,0.8356164383561644,35.14332861650392,43.15622566074509,103.94667810637254,129.96097507040392,319.6046652566667,394.66575780058827,83.67695845823529,21169458.0,0.0076352817129077,7.54291373239437,0,4347.0,43.15622566074509,0
2013,1609,651,1433,580,83.3,4222,107155,2236,Maha,0.890937019969278,64.98626927633053,64.50506032282912,215.07620803081232,193.14594800420167,685.9316839495798,575.0589468879551,125.80313499019609,20585000.0,-0.0276085481262675,6.90845034828452,0,4281.0,64.50506032282912,0
2013,1106,448,1104,447,85.5,4408,85042,1774,Yala,0.9977678571428572,45.41159525056274,43.15622566074509,144.78634203592156,129.96097507040392,480.869377802353,394.66575780058827,105.7814211745098,20585000.0,-0.0276085481262675,6.90845034828452,0,4145.0,43.15622566074509,0
2014,1909,773,1816,735,84.64,4364,137882,2877,Maha,0.9508408796895214,82.98402003739496,64.50506032282912,220.81134635308123,193.14594800420167,585.9655669579832,575.0589468879551,114.09934163165266,20778000.0,0.0093757590478504,3.1790022823606,0,4222.0,64.50506032282912,0
2014,773,313,743,301,81.54,4204,54872,1145,Yala,0.9616613418530352,46.61737720572941,43.15622566074509,132.30962948496668,129.96097507040392,365.0043353319608,394.66575780058827,105.56203159019609,20778000.0,0.0093757590478504,3.1790022823606,0,4408.0,43.15622566074509,0
2015,1868,756,1835,743,84.34,4349,139114,2903,Maha,0.9828042328042328,75.31621139075631,64.50506032282912,252.9520503011205,193.14594800420167,775.1213542955182,575.0589468879551,108.28878002591036,20970000.0,0.0092405428818942,3.76836783062096,0,4364.0,64.50506032282912,0
2015,1188,481,1176,476,87.8,4527,93091,1942,Yala,0.9896049896049895,45.51182859975098,43.15622566074509,137.26165984464706,129.96097507040392,411.7413544562745,394.66575780058827,103.52517618039217,20970000.0,0.0092405428818942,3.76836783062096,0,4204.0,43.15622566074509,0
2016,1341,543,946,383,60.17,4301,70634,1474,Maha,0.7053406998158379,32.93852626428571,64.50506032282912,102.15671056526612,193.14594800420167,399.60770427030815,575.0589468879551,54.36439398389356,21209000.0,0.0113972341440151,3.9588884659307,0,4349.0,64.50506032282912,0
2016,952,385,939,380,85.67,4417,72722,1517,Yala,0.987012987012987,55.45093756008432,43.15622566074509,168.0536784799706,129.96097507040392,499.3747687770588,394.66575780058827,117.09524080980393,21209000.0,0.0113972341440151,3.9588884659307,0,4527.0,43.15622566074509,0
2017,1649,667,1532,620,83.43,4302,114874,2397,Maha,0.929535232383808,65.46958249397758,64.50506032282912,195.3238855770308,193.14594800420167,526.129374257703,575.0589468879551,112.7522069684874,21453000.0,0.0115045499552077,7.70413767850602,0,4301.0,64.50506032282912,0
2017,616,249,584,236,83.23,4291,43580,909,Yala,0.9477911646586346,45.67629182722549,43.15622566074509,137.32058828637255,129.96097507040392,443.8523294633333,394.66575780058827,113.45850397647058,21453000.0,0.0115045499552077,7.70413767850602,0,4417.0,43.15622566074509,0
2018,1848,748,1789,724,73.07,4747,147256,3073,Maha,0.9679144385026738,59.10647630882353,64.50506032282912,177.04330911134454,193.14594800420167,540.3515984551822,575.0589468879551,91.45016808403362,21670000.0,0.0101151354122965,2.135037737132,0,4302.0,64.50506032282912,0
2018,924,374,897,363,90.83,4683,73466,1533,Yala,0.9705882352941176,57.45567498982157,43.15622566074509,171.80512968713725,129.96097507040392,523.935474154902,394.66575780058827,123.30866460392156,21670000.0,0.0101151354122965,2.135037737132,0,4291.0,43.15622566074509,0
2019,1859,752,1828,740,80.28,4531,153207,3197,Maha,0.9840425531914894,75.37790310448179,64.50506032282912,232.28464873137253,193.14594800420167,670.2664221036415,575.0589468879551,107.70176018109244,21803000.0,0.0061375173050299,3.52839358231811,0,4747.0,64.50506032282912,0
2019,912,369,855,346,94.96,4896,72822,1519,Yala,0.9376693766937668,48.199404584617646,43.15622566074509,132.4533422221039,129.96097507040392,349.0331483690196,394.66575780058827,117.81211641960785,21803000.0,0.0061375173050299,3.52839358231811,0,4683.0,43.15622566074509,0
2020,1903,770,1884,762,83.53,4307,146720,3062,Maha,0.9896103896103896,51.3952003302521,64.50506032282912,151.37194024789918,193.14594800420167,538.4313716540616,575.0589468879551,77.66852121288515,21919000.0,0.005320368756593,6.15394508391738,0,4531.0,64.50506032282912,1
2020,1127,456,1114,451,88.28,4552,92218,1924,Yala,0.9890350877192984,51.084777528319606,43.15622566074509,151.4709000672941,129.96097507040392,393.25354551117647,394.66575780058827,128.48788722941177,21919000.0,0.005320368756593,6.15394508391738,0,4896.0,43.15622566074509,1
2021,1917,776,1893,766,55.33,2853,92555,1931,Maha,0.9871134020618556,75.79486719383753,64.50506032282912,237.16242287072828,193.14594800420167,707.9451778921568,575.0589468879551,113.7626506885154,22156000.0,0.0108125370682969,7.01478071238195,0,4307.0,64.50506032282912,1
2021,1239,501,1228,497,83.57,4309,100079,2088,Yala,0.9920159680638724,58.10977931291176,43.15622566074509,172.8538656260059,129.96097507040392,501.1422198019608,394.66575780058827,132.0445726882353,22156000.0,0.0108125370682969,7.01478071238195,0,4552.0,43.15622566074509,1
2022,2008,813,1996,808,68.92,3554,129217,2696,Maha,0.993849938499385,61.48038731764706,64.50506032282912,182.83751094817927,193.14594800420167,579.2372669901961,575.0589468879551,97.89407632170868,22181000.0,0.0011283625203104,49.7211021114327,0,2853.0,64.50506032282912,1
2022,1190,482,1187,480,62.21,3207,70050,1462,Yala,0.995850622406639,57.56521543515686,43.15622566074509,161.46972448762745,129.96097507040392,458.0609541545098,394.66575780058827,135.42114428039216,22181000.0,0.0011283625203104,49.7211021114327,0,4309.0,43.15622566074509,1
2023,1993,807,1940,785,72.0,3712,130452,2722,Maha,0.9727385377943,92.05060156904764,64.50506032282912,273.0904386372549,193.14594800420167,734.1385919159665,575.0589468879551,137.49458898039217,22037000.0,-0.0064920427392813,16.5411742279832,0,3554.0,64.50506032282912,1
2023,1248,505,1215,492,74.12,3822,87101,1817,Yala,0.9742574257425742,63.41531104319608,43.15622566074509,193.13383621207845,129.96097507040392,616.776992972745,394.66575780058827,133.73269427254905,22037000.0,-0.0064920427392813,16.5411742279832,0,3207.0,43.15622566074509,1
2024,1189,481,1185,479,74.12,3893,94725,1976,Yala,0.9958419958419958,42.73164168661373,43.15622566074509,121.95123312480392,129.96097507040392,331.20767360588235,394.66575780058827,101.75966955882352,21916000.0,-0.0054907655306983,-0.42936004906973,0,3822.0,43.15622566074509,0
